Country,Internet Penetration (Percentage),Log of GDP
Aruba,0.9354,3.42553422
Greenland,0.685,3.387567779
Liberia,0.0732,3.32674538
Lesotho,0.2736,3.31827208
Bhutan,0.4177,3.293362555
San Marino,0.5421,3.26599637
Central African Republic,0.04,3.264345507
Belize,0.4458,3.230193379
Djibouti,0.1313,3.201123897
Seychelles,0.5651,3.179264464
Saint Lucia,0.4673,3.147985321
Somalia,0.0188,3.138302698
Antigua and Barbuda,0.73,3.096214585
Guinea-Bissau,0.0376,3.082426301
Solomon Islands,0.11,3.042575512
British Virgin Islands,0.376,2.955206538
Grenada,0.5586,2.946452265
Saint Kitts and Nevis,0.7682,2.930439595
The Gambia,0.185,2.92992956
Samoa,0.2941,2.915927212
Vanuatu,0.24,2.909556029
Saint Vincent and the Grenadines,0.5557,2.862727528
Comoros,0.0794,2.811575006
Dominica,0.6703,2.726727209
Tonga,0.3995,2.638489257
Ṣo Tom̩ and Pr�_ncipe,0.28,2.527629901
Anguilla,0.8157,2.492760389
Marshall Islands,0.2979,2.320146286
Kiribati,0.137,2.255272505
Montserrat,0.546,1.799340549
Tuvalu,0.4601,1.579783597
